City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Howard Springs,AU,-12.497,131.047,91.81,45,29,8.03,scattered clouds
242,Bethel,US,41.3712,-73.414,60.66,89,0,4.61,clear sky
243,Nanortalik,GL,60.1432,-45.2371,27.93,66,15,9.26,few clouds
244,Georgetown,MY,5.4112,100.3354,85.95,77,40,3.44,scattered clouds
245,Pokrovsk,UA,48.282,37.1758,44.31,80,37,6.49,scattered clouds
246,Segamat,MY,2.5148,102.8158,85.59,63,84,2.55,broken clouds
247,Mahebourg,MU,-20.4081,57.7,74.25,73,40,8.05,scattered clouds
248,Cocobeach,GA,1.0002,9.5823,77.4,86,99,5.21,light rain
249,Ahipara,NZ,-35.1667,173.1667,63.27,61,79,2.1,broken clouds
250,Omura,JP,32.9214,129.9539,76.82,57,20,5.75,few clouds
251,Adrar,MR,20.5022,-10.0711,81.03,27,100,14.07,overcast clouds
252,Doha,QA,25.2867,51.5333,82.38,86,20,3.44,haze
253,Necochea,AR,-38.5473,-58.7368,50.95,74,94,24.85,overcast clouds
254,Virginia Beach,US,36.8529,-75.978,66.02,93,75,6.91,broken clouds
255,Itirapina,BR,-22.2528,-47.8228,67.78,78,99,4.45,overcast clouds
256,Port Blair,IN,11.6667,92.75,86.04,74,40,6.91,scattered clouds
257,Shimoda,JP,34.6667,138.95,62.1,92,100,18.59,light rain
258,Constitucion,CL,-35.3333,-72.4167,52.72,72,5,11.03,clear sky
259,Goderich,CA,43.7501,-81.7165,58.91,94,100,8.05,moderate rain
260,Hami,CN,42.8,93.45,55.35,42,0,7.36,clear sky
261,Coihaique,CL,-45.5752,-72.0662,36.21,55,0,2.3,clear sky
262,Cheyenne,US,41.14,-104.8203,39.78,66,0,7.0,clear sky
263,Venta,LT,56.2,22.7,44.98,91,59,5.08,broken clouds
264,Kaitangata,NZ,-46.2817,169.8464,53.35,56,19,9.33,few clouds
265,Homer,US,59.6425,-151.5483,37.27,64,75,8.01,broken clouds
266,Birao,CF,10.2849,22.7882,71.94,77,92,2.21,overcast clouds
267,Sinop,TR,41.7711,34.8709,53.67,88,98,3.58,overcast clouds
268,Walkerburn,GB,55.6236,-3.017,45.9,91,24,4.36,few clouds
269,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,75,16.11,broken clouds
270,Erenhot,CN,43.6475,111.9767,52.97,24,0,5.14,clear sky
271,Baykit,RU,61.67,96.37,35.87,82,100,7.56,overcast clouds
272,Fredericton,CA,45.9454,-66.6656,49.24,86,100,3.44,overcast clouds
273,Vao,NC,-22.6667,167.4833,71.42,73,8,18.81,clear sky
274,Fort Nelson,CA,58.8053,-122.7002,45.99,55,75,5.75,broken clouds
275,San Alberto,CO,7.7611,-73.3922,75.42,93,100,3.94,overcast clouds
276,Kloulklubed,PW,7.0419,134.2556,82.81,80,100,19.55,heavy intensity rain
277,Cayenne,GF,4.9333,-52.3333,75.24,100,75,0.0,light rain
278,Khash,IR,28.2211,61.2158,64.17,16,0,2.06,clear sky
279,Nizhniy Kuranakh,RU,58.8353,125.4869,36.18,93,100,5.32,overcast clouds
280,Semnan,IR,35.5729,53.3971,62.29,44,0,6.08,clear sky
281,Saint George,US,37.1041,-113.5841,76.95,21,0,7.0,clear sky
282,Grafton,US,42.207,-71.6856,56.44,82,0,8.05,clear sky
283,Buxar,IN,25.5833,83.9833,81.82,69,55,4.5,broken clouds
284,Vestmannaeyjar,IS,63.4427,-20.2734,42.76,74,19,1.03,few clouds
